DeviceID,TransactionID,DeviceType,DeviceOS,TransactionIP,TransactionLocation
120,120,ATM Machine,Android,24.157.66.22,"Mccoyton, Colombia"
121,121,Mobile,iOS,86.180.81.9,"East Robertside, Pitcairn Islands"
122,122,ATM Machine,Android,175.110.11.27,"Floresstad, Bosnia and Herzegovina"
123,123,Mobile,Linux,37.213.24.45,"Lake Paulmouth, Ghana"
124,124,Laptop,iOS,52.6.5.96,"East Mariaview, Israel"
125,125,POS Terminal,iOS,194.56.189.90,"Coxfort, Norway"
126,126,Mobile,Android,211.56.52.112,"South Marvin, Gibraltar"
127,127,POS Terminal,iOS,53.43.125.199,"Markberg, Guinea"
128,128,Mobile,iOS,92.171.168.89,"Thomasburgh, Haiti"
129,129,Laptop,Android,178.188.138.126,"New Cynthiatown, Turks and Caicos Islands"
130,130,POS Terminal,Android,99.31.176.158,"Sloanbury, Panama"
131,131,ATM Machine,Linux,135.5.244.97,"Floydland, Bangladesh"
132,132,Laptop,Linux,113.170.196.165,"Fernandezburgh, Uzbekistan"
133,133,Laptop,Android,194.31.200.153,"Lake Michael, Somalia"
134,134,POS Terminal,iOS,182.120.80.143,"South Sarahstad, Liechtenstein"
135,135,Laptop,Linux,180.233.181.99,"Jeanettestad, Netherlands Antilles"
136,136,Laptop,iOS,210.46.48.4,"Mendezmouth, Norway"
137,137,ATM Machine,Android,145.0.151.34,"New Charles, Tuvalu"
138,138,ATM Machine,Windows,204.203.208.192,"Leeland, Saint Kitts and Nevis"
139,139,POS Terminal,Windows,78.125.67.135,"South Eric, Belarus"
140,140,Mobile,Windows,183.32.41.111,"Jessicaland, Austria"
141,141,POS Terminal,Windows,109.48.239.187,"East Robin, Zimbabwe"
142,142,POS Terminal,Linux,89.184.132.15,"Port Amandabury, Reunion"
143,143,POS Terminal,iOS,20.12.93.245,"Lake Alexanderville, Ireland"
144,144,Mobile,Windows,8.162.38.219,"Brandonville, Saint Kitts and Nevis"
145,145,Mobile,Android,48.148.141.50,"Port Valerietown, Panama"
146,146,POS Terminal,Android,205.152.163.61,"West Jeffery, Vanuatu"
147,147,ATM Machine,Android,57.231.103.110,"Garciahaven, Japan"
148,148,Laptop,iOS,215.218.81.217,"West Michael, Mali"
149,149,Laptop,iOS,207.15.243.249,"South Taylor, Comoros"
150,150,POS Terminal,Linux,108.119.167.195,"Michaelberg, Greenland"
151,151,POS Terminal,Android,69.152.159.79,"Palmershire, Turkey"
152,152,ATM Machine,Windows,221.130.38.69,"Coffeyville, Comoros"
153,153,POS Terminal,iOS,68.125.96.25,"Courtneyport, Saint Helena"
154,154,ATM Machine,Android,63.99.38.148,"Flemingchester, Sri Lanka"
155,155,POS Terminal,Windows,58.10.100.165,"Kathleenland, Zambia"
156,156,Laptop,iOS,27.194.2.68,"Josephfurt, Saint Kitts and Nevis"
157,157,POS Terminal,Linux,172.206.32.64,"Curtisborough, Estonia"
158,158,Laptop,Linux,78.177.142.210,"Sanchezview, Christmas Island"
159,159,ATM Machine,Linux,97.24.119.78,"Christineshire, Central African Republic"
160,160,Mobile,Android,168.95.103.64,"Hicksside, Oman"
161,161,ATM Machine,Linux,220.226.174.157,"Lake Jonathanland, Christmas Island"
162,162,ATM Machine,Windows,1.40.149.104,"West Kimberly, Macao"
163,163,Laptop,Linux,65.172.112.219,"Joyceburgh, French Southern Territories"
164,164,Mobile,Windows,221.159.201.85,"East Ashleychester, Bouvet Island (Bouvetoya)"
165,165,ATM Machine,Android,20.100.35.196,"Reidstad, Kiribati"
166,166,POS Terminal,Windows,134.203.144.219,"North Robert, Liechtenstein"
167,167,ATM Machine,Linux,104.58.18.236,"New Peterfort, Guam"
168,168,POS Terminal,Windows,207.70.174.210,"Chrisbury, Bermuda"
169,169,ATM Machine,iOS,30.39.99.203,"Burtonshire, Faroe Islands"
170,170,ATM Machine,Linux,191.54.244.59,"Amberchester, Belgium"
171,171,Laptop,iOS,12.251.81.63,"West Steven, Tuvalu"
172,172,POS Terminal,iOS,74.164.8.6,"South Gary, Djibouti"
173,173,Laptop,iOS,79.181.18.118,"Christopherview, Netherlands"
174,174,Mobile,iOS,173.177.44.0,"Garciabury, Zambia"
175,175,POS Terminal,iOS,201.94.204.149,"Williammouth, Niue"
176,176,POS Terminal,Linux,173.160.186.58,"New Ashley, Lao People's Democratic Republic"
177,177,POS Terminal,Windows,162.77.103.156,"Carolton, Chile"
178,178,Laptop,Linux,106.245.245.206,"Duranstad, Timor-Leste"
179,179,Laptop,iOS,217.245.40.196,"South Nicolas, Bulgaria"
180,180,ATM Machine,Linux,209.216.2.1,"Pamport, Malaysia"
181,181,Laptop,Windows,117.150.9.0,"Davidfort, American Samoa"
182,182,ATM Machine,Android,23.197.190.254,"Elizabethberg, Russian Federation"
183,183,Mobile,Android,220.53.129.147,"Andersonbury, Estonia"
184,184,ATM Machine,Linux,165.111.209.16,"Joneschester, Montenegro"
185,185,Laptop,iOS,17.60.204.117,"North Crystalton, Qatar"
186,186,Laptop,Linux,84.63.63.15,"Holtside, Madagascar"
187,187,POS Terminal,iOS,116.25.255.194,"Scottport, Botswana"
188,188,Laptop,Android,10.16.86.73,"Stephaniehaven, Puerto Rico"
189,189,POS Terminal,Linux,46.147.41.173,"West Paul, El Salvador"
190,190,ATM Machine,Android,28.185.214.193,"South Amberborough, Myanmar"
191,191,POS Terminal,iOS,173.248.172.60,"Natashaport, Togo"
192,192,Mobile,Linux,176.57.143.35,"Melissatown, Norfolk Island"
193,193,Laptop,Linux,218.131.67.0,"East Deborah, United Arab Emirates"
194,194,Mobile,Linux,113.208.246.227,"South Veronicafort, Christmas Island"
195,195,POS Terminal,iOS,164.242.224.106,"Maryfurt, Benin"
196,196,ATM Machine,Linux,183.23.189.156,"Hillview, Australia"
197,197,ATM Machine,Windows,180.126.168.233,"Fraziermouth, Martinique"
198,198,Laptop,Android,161.156.151.231,"Carriestad, Western Sahara"
199,199,ATM Machine,iOS,102.25.48.192,"Holtborough, Kiribati"
200,200,Laptop,Windows,90.224.72.138,"Ruizfurt, Afghanistan"
201,201,Mobile,Android,146.83.183.237,"Port Christy, Qatar"
202,202,POS Terminal,Windows,71.215.48.41,"New Jeffrey, Azerbaijan"
203,203,POS Terminal,Windows,140.41.79.88,"Ericksonshire, Iraq"
204,204,ATM Machine,iOS,124.242.146.135,"Fosterhaven, Saint Vincent and the Grenadines"
205,205,Laptop,Windows,66.191.13.240,"Shellyshire, Benin"
206,206,Laptop,Linux,107.71.166.143,"Danaburgh, Monaco"
207,207,Laptop,Android,160.203.161.96,"Levyfurt, Tonga"
208,208,ATM Machine,Windows,218.32.14.224,"Lake Antonioville, Poland"
209,209,ATM Machine,Windows,6.180.85.169,"East Dustinchester, Mauritius"
210,210,Mobile,Windows,80.48.218.146,"West Felicia, Malaysia"
211,211,Mobile,Windows,140.229.123.6,"South Stanley, France"
212,212,POS Terminal,iOS,207.215.186.76,"East George, Iran"
213,213,POS Terminal,Windows,42.228.149.78,"Gregorybury, Montserrat"
214,214,ATM Machine,Linux,87.167.159.25,"Lake Karenborough, Costa Rica"
215,215,POS Terminal,iOS,219.165.122.58,"West Autumn, Turkmenistan"
216,216,ATM Machine,Android,39.241.170.134,"West Cameron, Congo"
217,217,ATM Machine,iOS,26.144.163.140,"Lake John, Russian Federation"
218,218,Mobile,Windows,107.75.134.38,"Port Leslieland, Moldova"
219,219,ATM Machine,Linux,32.146.210.204,"Port Tylerhaven, Barbados"
220,220,ATM Machine,iOS,27.29.97.224,"East Jeffreyfurt, Sweden"
221,221,POS Terminal,Linux,106.86.28.234,"North Brandon, Chad"
222,222,Mobile,Windows,209.5.34.180,"Port Holly, American Samoa"
223,223,POS Terminal,Windows,9.93.202.212,"Annbury, Yemen"
224,224,ATM Machine,Android,27.142.232.79,"Careyhaven, Mozambique"
225,225,Mobile,Linux,160.241.94.167,"East Nancy, Eritrea"
226,226,Laptop,Android,78.135.110.249,"West Audrey, Holy See (Vatican City State)"
227,227,POS Terminal,Linux,35.254.1.78,"Lauraview, Haiti"
228,228,Laptop,Android,116.117.218.175,"New Andrewbury, Cayman Islands"
229,229,Mobile,Android,136.41.219.188,"New Nicholas, Myanmar"
230,230,Mobile,Android,155.76.177.99,"South Daisymouth, Ireland"
231,231,POS Terminal,Linux,161.130.58.53,"South Kennethside, Kazakhstan"
232,232,Laptop,Windows,21.168.47.108,"Rodriguezchester, Bahamas"
233,233,POS Terminal,iOS,74.31.163.240,"Lake Susan, Turks and Caicos Islands"
234,234,Mobile,Linux,32.173.244.35,"South Jennifer, Gabon"
235,235,Laptop,iOS,156.205.163.12,"Brandonburgh, Saint Lucia"
236,236,ATM Machine,Windows,69.236.228.180,"South Susanton, Eritrea"
237,237,Laptop,Linux,103.27.173.220,"Anthonyton, Marshall Islands"
238,238,Laptop,Windows,23.15.219.224,"Danielville, Falkland Islands (Malvinas)"
239,239,Laptop,Android,73.198.199.223,"North Josephberg, Tajikistan"
240,240,ATM Machine,Windows,106.0.190.28,"Nicholashaven, Mauritania"
241,241,Mobile,Windows,65.246.9.163,"Frederickton, Benin"
242,242,Mobile,Android,146.200.226.164,"Meyerchester, Barbados"
243,243,Mobile,iOS,145.58.25.178,"Kristinberg, Jordan"
244,244,POS Terminal,Android,39.67.160.106,"North Abigail, Uruguay"
245,245,POS Terminal,Windows,54.180.151.254,"Colemouth, Sri Lanka"
246,246,ATM Machine,Windows,108.167.83.89,"Leahville, Paraguay"
247,247,POS Terminal,iOS,102.85.156.40,"Stevenside, Belarus"
248,248,ATM Machine,Windows,175.62.59.51,"South Evan, Greece"
249,249,Laptop,Windows,190.169.54.107,"South Sarahtown, Pitcairn Islands"
250,250,POS Terminal,Windows,71.39.194.0,"Andrewtown, Holy See (Vatican City State)"
251,251,Laptop,Android,221.27.67.242,"Jonathanhaven, Greenland"
252,252,POS Terminal,Linux,59.236.137.122,"Normaborough, Montenegro"
253,253,ATM Machine,iOS,113.21.204.11,"West Krista, Guinea-Bissau"
254,254,POS Terminal,Linux,196.248.168.139,"Port Bryanland, Hungary"
255,255,ATM Machine,Windows,173.145.90.251,"Johnsonburgh, Gambia"
256,256,Laptop,Android,72.238.79.20,"South Michael, Panama"
257,257,POS Terminal,Linux,138.102.103.117,"Atkinsland, Palau"
258,258,Laptop,Android,52.14.185.250,"South Chelseaside, Germany"
259,259,ATM Machine,Linux,160.98.111.182,"West Lisachester, Malawi"
260,260,Mobile,Windows,135.158.184.120,"North Dylan, Micronesia"
261,261,POS Terminal,Android,97.73.169.114,"Morrisbury, Chad"
262,262,Mobile,iOS,40.243.188.20,"South Ashleystad, Bahamas"
263,263,POS Terminal,Android,20.144.232.47,"North Mathewberg, Martinique"
264,264,ATM Machine,Android,108.229.171.5,"North Michael, Mauritania"
265,265,POS Terminal,Windows,49.138.150.91,"Snyderstad, Solomon Islands"
266,266,Laptop,iOS,26.67.11.167,"New Kellyhaven, Honduras"
267,267,ATM Machine,Linux,157.214.199.189,"Kimbury, Papua New Guinea"
268,268,POS Terminal,Windows,207.5.46.215,"Larrystad, Singapore"
269,269,ATM Machine,iOS,38.221.180.102,"South Paulmouth, Algeria"
270,270,ATM Machine,iOS,91.194.214.62,"Ellisburgh, French Southern Territories"
271,271,ATM Machine,Android,70.210.45.1,"Port Ashleytown, Sierra Leone"
272,272,Mobile,Android,93.17.189.180,"West Eric, American Samoa"
273,273,Mobile,Android,8.90.151.248,"North Diane, French Southern Territories"
274,274,POS Terminal,Android,189.193.52.44,"North Toni, Paraguay"
275,275,ATM Machine,iOS,90.38.44.196,"East Tara, Solomon Islands"
276,276,POS Terminal,Android,72.161.134.128,"East Stephanieburgh, Slovenia"
277,277,ATM Machine,Windows,152.143.31.27,"Michaelland, Colombia"
278,278,Laptop,iOS,46.248.35.49,"Lake Ricky, Seychelles"
279,279,ATM Machine,Linux,7.146.105.160,"Lunafort, India"
280,280,ATM Machine,Windows,76.64.235.158,"Brianland, China"
281,281,Laptop,Windows,82.26.28.254,"Lake Mary, Egypt"
282,282,ATM Machine,Linux,102.138.123.180,"West Jeremymouth, Singapore"
283,283,ATM Machine,Windows,64.250.247.220,"Port Josemouth, Chile"
284,284,Laptop,iOS,43.172.209.126,"East Andrewburgh, Reunion"
285,285,Laptop,iOS,128.186.225.58,"Port Jacob, Libyan Arab Jamahiriya"
286,286,Mobile,Android,59.182.163.95,"Knightport, Azerbaijan"
287,287,ATM Machine,iOS,1.146.175.65,"Petersville, Netherlands"
288,288,ATM Machine,Android,65.141.212.164,"Karenstad, Samoa"
289,289,ATM Machine,Linux,2.232.104.180,"Jonathanmouth, Montenegro"
290,290,Laptop,iOS,119.220.84.173,"Matthewside, French Southern Territories"
291,291,POS Terminal,iOS,69.121.220.78,"North Kristiville, Iran"
292,292,Mobile,Linux,74.58.225.122,"Port Tina, France"
293,293,Laptop,Windows,42.13.21.203,"Yolandaville, Latvia"
294,294,Laptop,Android,213.161.242.224,"New Jessicaport, Liberia"
295,295,ATM Machine,Windows,128.139.51.10,"North Joe, Brazil"
296,296,Mobile,Windows,114.211.9.201,"Lewisburgh, Namibia"
297,297,ATM Machine,Linux,18.170.91.50,"Lake Tonymouth, Spain"
298,298,Laptop,Android,106.163.126.204,"Lake John, Mozambique"
299,299,Laptop,Windows,5.27.75.214,"Allenfort, Estonia"
300,300,POS Terminal,Linux,201.218.132.202,"North Paul, Kenya"
301,301,POS Terminal,Windows,169.252.2.127,"New Mariafort, Bouvet Island (Bouvetoya)"
302,302,ATM Machine,Windows,40.46.32.127,"West Anthony, Cook Islands"
303,303,Mobile,Android,218.209.49.129,"Michaelside, Bermuda"
304,304,ATM Machine,iOS,85.247.160.26,"South Kelly, Tuvalu"
305,305,Laptop,Linux,208.26.28.225,"Johnsonland, Saint Lucia"
306,306,Mobile,Linux,110.102.199.84,"Hallborough, Kiribati"
307,307,ATM Machine,Android,182.44.73.54,"Harrisonbury, India"
308,308,ATM Machine,Windows,45.107.234.193,"East Brandon, Lesotho"
309,309,Laptop,Windows,3.116.104.208,"Dayfort, Slovakia (Slovak Republic)"
310,310,Laptop,iOS,86.222.33.57,"Port Krystal, Trinidad and Tobago"
311,311,Laptop,Android,207.46.130.123,"Rebeccaborough, Turks and Caicos Islands"
312,312,Mobile,Linux,122.213.249.70,"Port Robert, Belarus"
313,313,ATM Machine,Linux,146.207.52.253,"Chadside, Montserrat"
314,314,Mobile,Windows,179.149.197.9,"Anaburgh, Bosnia and Herzegovina"
315,315,ATM Machine,iOS,82.34.201.250,"Harrellport, Cote d'Ivoire"
316,316,Mobile,iOS,126.204.38.20,"Michaelville, Somalia"
317,317,Laptop,Linux,188.14.209.103,"Port Brittney, Congo"
318,318,ATM Machine,Linux,122.67.27.61,"Port Matthew, Central African Republic"
319,319,ATM Machine,Android,72.78.32.17,"Lake Dawn, Saint Martin"
320,320,POS Terminal,Windows,133.102.114.138,"Wesleybury, Saint Barthelemy"
321,321,Mobile,Android,182.201.24.7,"Bowenview, Honduras"
322,322,POS Terminal,Linux,73.176.133.211,"Grimesfurt, Luxembourg"
323,323,Mobile,Linux,23.76.209.3,"Scottshire, British Indian Ocean Territory (Chagos Archipelago)"
324,324,Laptop,Linux,170.43.167.16,"Port Erikside, Colombia"
325,325,POS Terminal,Windows,15.70.103.108,"Rickytown, Belarus"
326,326,ATM Machine,Windows,210.216.89.230,"New Lauraview, Nigeria"
327,327,Laptop,iOS,119.216.194.137,"Paulfurt, Denmark"
328,328,POS Terminal,Linux,94.72.46.74,"East Danielmouth, Western Sahara"
329,329,Laptop,Linux,117.153.53.231,"East Joshuabury, Antarctica (the territory South of 60 deg S)"
330,330,Mobile,Linux,8.165.200.97,"Vasquezstad, United States Minor Outlying Islands"
331,331,Mobile,Android,103.203.123.51,"Port Wendy, Guadeloupe"
332,332,ATM Machine,Windows,130.83.41.221,"West Adam, Luxembourg"
333,333,ATM Machine,Windows,174.175.252.149,"Port Michele, Finland"
334,334,Laptop,Android,179.37.181.70,"Salinasberg, France"
335,335,ATM Machine,Linux,186.8.29.174,"Brennanport, Macedonia"
336,336,POS Terminal,Linux,63.160.82.174,"Katherineshire, Jamaica"
337,337,Mobile,Android,115.158.166.185,"Hallport, Korea"
338,338,Laptop,Linux,148.136.125.18,"West James, Turkey"
339,339,Laptop,Linux,216.250.16.7,"Cynthiatown, Bahamas"
340,340,Laptop,Android,33.248.54.88,"Carolfort, Romania"
341,341,Mobile,iOS,86.121.9.94,"West David, Mayotte"
342,342,Mobile,Windows,181.99.29.141,"Lake Richard, Dominican Republic"
343,343,Laptop,Windows,11.134.101.130,"Martineztown, Myanmar"
344,344,Laptop,Android,131.127.235.168,"North Mitchellport, Lesotho"
345,345,Laptop,Android,164.238.6.241,"Everettton, Cyprus"
346,346,Mobile,Windows,172.91.158.225,"Brucetown, Dominican Republic"
347,347,Laptop,Linux,89.84.36.167,"Shepardport, Haiti"
348,348,ATM Machine,Android,112.152.87.86,"South Louisbury, Northern Mariana Islands"
349,349,POS Terminal,Android,110.80.206.58,"Grayfurt, Finland"
350,350,Laptop,Windows,56.24.122.65,"Williamhaven, Ukraine"
351,351,Mobile,Linux,135.181.163.242,"Williamburgh, Suriname"
352,352,ATM Machine,Android,21.151.69.110,"South Sara, Burundi"
353,353,ATM Machine,iOS,46.162.238.188,"Henryberg, Israel"
354,354,ATM Machine,iOS,133.13.136.232,"South Gerald, British Indian Ocean Territory (Chagos Archipelago)"
355,355,Laptop,Linux,56.0.81.245,"Kaneview, Spain"
356,356,Mobile,Linux,30.31.182.67,"Randyshire, United Kingdom"
357,357,Mobile,Windows,200.209.95.57,"South Kara, Gambia"
358,358,Mobile,Windows,40.110.200.154,"New Nancyfurt, Holy See (Vatican City State)"
359,359,ATM Machine,Linux,105.164.162.255,"East Amanda, United Arab Emirates"
360,360,Laptop,Android,222.216.207.93,"West Tamara, Ghana"
361,361,POS Terminal,Linux,11.3.65.176,"West Rebecca, Belgium"
362,362,Mobile,Android,95.248.160.165,"Aliceton, Uganda"
363,363,Mobile,Android,39.76.179.100,"South Victoriafort, Guatemala"
364,364,Mobile,iOS,73.88.16.35,"South Charles, Latvia"
365,365,Mobile,iOS,179.92.225.180,"East Danaview, Macedonia"
366,366,Mobile,Android,134.150.185.184,"Lake Thomashaven, Malaysia"
367,367,POS Terminal,Linux,135.19.239.210,"South Paulville, Jordan"
368,368,Laptop,iOS,196.67.225.249,"North Christine, Namibia"
369,369,Laptop,Windows,4.52.192.173,"North Kevinfort, Congo"
370,370,ATM Machine,Linux,67.192.26.189,"Shaunton, Nigeria"
371,371,ATM Machine,Linux,212.133.76.81,"East Robertport, Malta"
372,372,ATM Machine,Android,185.225.36.56,"Higginsville, Nauru"
373,373,Mobile,iOS,38.26.211.206,"Jamesport, Tuvalu"
